wavelength_nm,transmission
926.0,0.0013822263470424612
927.0,0.0010651365974236788
928.0,0.0008843863275526956
929.0,0.001848476982579037
930.0,0.001965430545340474
931.0,0.0011490236539797854
932.0,0.002439551063917038
933.0,0.0012742723419417845
934.0,0.0034053288598362643
935.0,0.003710864424402189
936.0,0.003509421570633236
937.0,0.003045122469768612
938.0,0.004560870232210962
939.0,0.0029895591172287273
940.0,0.0046299726362118996
941.0,0.00467958844599031
942.0,0.005901078741267985
943.0,0.00599150928276624
944.0,0.00656071954291365
945.0,0.00783435971031086
946.0,0.009951984201684276
947.0,0.009331063278278352
948.0,0.010960743902339719
949.0,0.011385955768482834
950.0,0.011961657923794817
951.0,0.013887005557778755
952.0,0.018074424269655616
953.0,0.018048260926983535
954.0,0.020255641115743798
955.0,0.0227112583595059
956.0,0.02532032111531858
957.0,0.028634108523951388
958.0,0.03585663242603989
959.0,0.039410510095746275
960.0,0.045872271671437675
961.0,0.05365130481232262
962.0,0.06032618537078576
963.0,0.07131745597162523
964.0,0.08187778111711219
965.0,0.09509406663748962
966.0,0.11121779570687804
967.0,0.12870975410637034
968.0,0.1517816701930854
969.0,0.17913208691584537
970.0,0.20653237300748734
971.0,0.23600582372620213
972.0,0.2690931932421291
973.0,0.3051221857559104
974.0,0.3379709672049096
975.0,0.37614078850026034
976.0,0.41299548978588135
977.0,0.4533125869490194
978.0,0.48470809703924195
979.0,0.5109501189594478
980.0,0.5344042533954859
981.0,0.5598864035595612
982.0,0.5756079270705243
983.0,0.5865382922902888
984.0,0.5942937523293255
985.0,0.5970429450159798
986.0,0.6000679048561434
987.0,0.5992136951527696
988.0,0.5974238218987807
989.0,0.5974177341618586
990.0,0.5958574461975971
991.0,0.595283657155905
992.0,0.596151215390094
993.0,0.5971441963664023
994.0,0.5989645529246419
995.0,0.6004214887518837
996.0,0.6025707554033517
997.0,0.6067843633168386
998.0,0.6105010227519174
999.0,0.6134905745515974
1000.0,0.6172960970767014
1001.0,0.6232356145500596
1002.0,0.6281284120584631
1003.0,0.6338966355876487
1004.0,0.6392350472651179
1005.0,0.6446862221419787
1006.0,0.6511429670203845
1007.0,0.6553845280921061
1008.0,0.6592924301847497
1009.0,0.662716409461067
1010.0,0.6653628381009962
1011.0,0.6679384373582685
1012.0,0.6691296044619077
1013.0,0.6703989485825723
1014.0,0.6711198087198105
1015.0,0.6719052731945012
1016.0,0.6735517355490557
1017.0,0.6745226912744863
1018.0,0.6744884600592759
1019.0,0.6723694288188387
1020.0,0.6714133312357603
1021.0,0.6695016227190562
1022.0,0.6672925611265595
1023.0,0.6641700556769107
1024.0,0.661645136987234
1025.0,0.6586408634295459
1026.0,0.6549359340699811
1027.0,0.651720533808222
1028.0,0.6489979132602088
1029.0,0.6458401724067007
1030.0,0.6446620687166285
1031.0,0.6432888967197975
1032.0,0.6414625676572661
1033.0,0.6403374863635272
1034.0,0.6387506899931789
1035.0,0.6376203949781284
1036.0,0.6378288203113671
1037.0,0.6382775465536886
1038.0,0.6392058757610358
1039.0,0.6405490731549882
1040.0,0.6447587539101939
1041.0,0.6490144324615125
1042.0,0.6535064293409825
1043.0,0.6590656908765066
1044.0,0.6652579385186305
1045.0,0.6724657825675087
1046.0,0.6797080034881823
1047.0,0.6863017067478673
1048.0,0.6923557448478292
1049.0,0.6959576063522649
1050.0,0.6984134085892533
1051.0,0.7003525563388414
1052.0,0.6975629472507231
1053.0,0.6909902513236944
1054.0,0.6837802068014368
1055.0,0.6715650469279074
1056.0,0.6541476815558137
1057.0,0.6355782560963013
1058.0,0.6145447279975771
1059.0,0.5878857936106674
1060.0,0.5594535117691756
1061.0,0.5298694199534294
1062.0,0.4968760853010475
1063.0,0.46487379623011765
1064.0,0.4333708317094904
1065.0,0.40187513659987256
1066.0,0.3698002392841561
1067.0,0.33875696437920394
1068.0,0.31238072265826794
1069.0,0.2851000239221085
1070.0,0.25691904938512794
1071.0,0.2324723117585449
1072.0,0.20869684520132817
