wavelength_nm,transmission
350.0,0.0
355.0,0.009
360.0,0.121
365.0,0.37
370.0,0.648
375.0,0.879
380.0,1.0
385.0,0.996
390.0,0.873
395.0,0.664
400.0,0.421
405.0,0.234
410.0,0.107
415.0,0.039
420.0,0.015
425.0,0.0
