wavelength_nm,transmission
1123.0,0.0003956655261862606
1124.0,0.0008208169921502645
1125.0,0.0009531086516889582
1126.0,0.0009758132754462386
1127.0,0.0011916759792816132
1128.0,0.0011743854389579056
1129.0,0.0012822599808179221
1130.0,0.0013568366699963324
1131.0,0.0020771151882979766
1132.0,0.00254877452010951
1133.0,0.0024462552579345626
1134.0,0.0020816599884202775
1135.0,0.0018948321175961142
1136.0,0.0027441886481582027
1137.0,0.003731603712673785
1138.0,0.004177768742373369
1139.0,0.005077712468838444
1140.0,0.005779956116390932
1141.0,0.005603848098176469
1142.0,0.005855218614152239
1143.0,0.00772738250111626
1144.0,0.008381155650684887
1145.0,0.009182402436396443
1146.0,0.010253193018542156
1147.0,0.01120706536213404
1148.0,0.01441349083385936
1149.0,0.016665014453115357
1150.0,0.018459910131669664
1151.0,0.023771521585968715
1152.0,0.026981336923942147
1153.0,0.03217456143931314
1154.0,0.03852690660219311
1155.0,0.04735816235936456
1156.0,0.05468524519008664
1157.0,0.06927731843192114
1158.0,0.08037200828780253
1159.0,0.10007839739705296
1160.0,0.12035684301356679
1161.0,0.15132094359055484
1162.0,0.18149161697608876
1163.0,0.22558640738336933
1164.0,0.26745292289452627
1165.0,0.3188500461502247
1166.0,0.3697674694854411
1167.0,0.42854905637782964
1168.0,0.48605627781010763
1169.0,0.5338222770975715
1170.0,0.5813417216671966
1171.0,0.6088777751720278
1172.0,0.6382608127963857
1173.0,0.6471756339085084
1174.0,0.6470788247526047
1175.0,0.6575370561302843
1176.0,0.6607597235893783
1177.0,0.6526646015936244
1178.0,0.6378315595041723
1179.0,0.6419340889315652
1180.0,0.6349216718919232
1181.0,0.6313852915971389
1182.0,0.6080608946154807
1183.0,0.6266475718629363
1184.0,0.6209406012427306
1185.0,0.6173169464488234
1186.0,0.6266245224469846
1187.0,0.6251958287346457
1188.0,0.6156250926612178
1189.0,0.6300072476527518
1190.0,0.6380502757481007
1191.0,0.6418170127841583
1192.0,0.6483317013331991
1193.0,0.652740660331072
1194.0,0.65846430514648
1195.0,0.6646036852725573
1196.0,0.6704067164306668
1197.0,0.6766917706581733
1198.0,0.6801291441065557
1199.0,0.6798588581866156
1200.0,0.6921775998610643
1201.0,0.6957227966144384
1202.0,0.699185118601861
1203.0,0.7031021370488778
1204.0,0.6909231057182266
1205.0,0.7057763795418314
1206.0,0.7166377012516495
1207.0,0.7149640414048916
1208.0,0.7175460324789786
1209.0,0.7197588296728997
1210.0,0.7243541502284948
1211.0,0.725616558201719
1212.0,0.72602821892939
1213.0,0.731018476613805
1214.0,0.7303022291791019
1215.0,0.7300070472421561
1216.0,0.7335793451721412
1217.0,0.7338061434244616
1218.0,0.7341037757000899
1219.0,0.7319160134516419
1220.0,0.7355428553450892
1221.0,0.7380749579972168
1222.0,0.7364029708539934
1223.0,0.7381699911018988
1224.0,0.7399056249793683
1225.0,0.7423910311589837
1226.0,0.7438138539879932
1227.0,0.7434824206611526
1228.0,0.7468847876504752
1229.0,0.7493980262239296
1230.0,0.7519229409315854
1231.0,0.7539952446514558
1232.0,0.7553536247581099
1233.0,0.7567241928302336
1234.0,0.7594156745820052
1235.0,0.7608020709295502
1236.0,0.7621685143190325
1237.0,0.7636893329322999
1238.0,0.765564777539531
1239.0,0.7665925810053277
1240.0,0.767579426498256
1241.0,0.767881499984778
1242.0,0.7684176985072577
1243.0,0.7686777811547664
1244.0,0.7688725072554937
1245.0,0.7683442351139254
1246.0,0.7678242508050844
1247.0,0.7662479005125596
1248.0,0.7644429576480937
1249.0,0.7631043887490992
1250.0,0.7614048904279731
1251.0,0.7575711210632458
1252.0,0.7553222535206852
1253.0,0.7504297598385911
1254.0,0.7445901919682084
1255.0,0.7423961586313873
1256.0,0.7341963050083642
1257.0,0.7299000145313164
1258.0,0.7255193961380763
1259.0,0.7145661607541145
1260.0,0.7132627666391521
1261.0,0.6977549360370162
1262.0,0.6910969081642359
1263.0,0.6795207744246501
1264.0,0.667031155977916
1265.0,0.6660962243430933
1266.0,0.6552006568319555
1267.0,0.665570556890948
1268.0,0.636061291083894
1269.0,0.5556679171968206
1270.0,0.650257566390615
1271.0,0.6661113174093123
1272.0,0.6635041124354415
1273.0,0.662979207531911
1274.0,0.6634502692387606
1275.0,0.6651328213184279
1276.0,0.6659727597498856
1277.0,0.6676605612355557
1278.0,0.6675835909023865
1279.0,0.6701614178836675
1280.0,0.6706985604286018
1281.0,0.6754076646269198
1282.0,0.6795136183062039
1283.0,0.6838654686633104
1284.0,0.6881141053358482
1285.0,0.689359636351801
1286.0,0.6915409036571075
1287.0,0.6911402541126895
1288.0,0.6917933689902658
1289.0,0.6948100959260185
1290.0,0.7001549011524689
1291.0,0.7070537742676749
1292.0,0.7133305183017208
1293.0,0.7185811324937585
1294.0,0.722459519756077
1295.0,0.7217364595292488
1296.0,0.7206378881666167
1297.0,0.7251342987022473
1298.0,0.7319432330367377
1299.0,0.740404091497929
1300.0,0.7452374731493941
1301.0,0.7462969152161469
1302.0,0.7510730590271704
1303.0,0.7468781480777346
1304.0,0.7416706433863202
1305.0,0.7579934246818381
1306.0,0.764845478926096
1307.0,0.762301991750666
1308.0,0.7657275671642134
1309.0,0.7678745741961094
1310.0,0.7518897624682361
1311.0,0.7663850119270597
1312.0,0.771811519924789
1313.0,0.7675459011976428
1314.0,0.7643640132580826
1315.0,0.7698086762785551
1316.0,0.7696419934586938
1317.0,0.7583382526133142
1318.0,0.7615400690406492
1319.0,0.7565433402569078
1320.0,0.7471578506572292
1321.0,0.754041090287657
